,work_id,name,artist_id,style,museum_id,subject
1224,28231,Portrait of Martha Cadwalader Dagworthy,718,"",67,3
1225,28233,Portrait of Mrs. John B. Bayard,718,"",67,3
1226,28235,Portrait of Timothy Matlack,718,"","",3
1227,28237,Samuel Mifflin,718,"",35,3
1228,19872,"Allies Day, May 1917",614,8,46,""
1229,19874,April (The Green Gown),614,8,"",""
1230,19876,At the Piano,614,8,"",17
1231,198984,"Avenue of the Allies - Brazil, Belgium",614,8,60,""
1232,19878,"Avenue of the Allies, Great Britain, 1918",614,8,35,""
1233,19880,Bowl of Goldfish,614,8,"",""
1234,19882,Boy with Flower Pots,614,8,"",6
1235,19884,Bridge Over the Stour,614,8,"",14
1236,19886,Broadway and 42nd Street,614,8,35,""
1237,19888,"Celia Thaxter"s Garden, Isles of Shoals, Maine",614,8,35,15
1238,19890,City Fairyland,614,8,"",9
1239,19892,"Cliff Rock, Appledore",614,8,"",16
1240,19894,"Coast Scene, Isles of Shoals",614,8,35,16
1241,19896,"Columbian Exposition, Chicago",614,8,"",""
1242,19898,Conversation on the Avenue,614,8,"",""
1243,19900,"Couch on the Porch, Cos Cob",614,8,"",""
1244,19902,"Early Evening, After Snowfall",614,8,"",9
1245,19904,Early Morning on the Avenue in May 1917,614,8,"",9
1246,19906,"End of the Trolley Line, Oak Park, Illinois",614,8,"",""
1247,19908,Fifth Avenue,614,8,"",""
1248,19910,Figures in Sunlight,614,8,"",""
1249,19912,Improvisation,614,8,"",17
1250,19914,In the Old House,614,8,"",""
1251,19916,"Isles of Shoals, Broad Cove",614,8,"",16
1252,19918,Jonquils,614,8,"",""
1253,19920,"July Fourteenth, Rue Daunou, 1910",614,8,35,""
1254,19922,"Late Afternoon, New York, Winter",614,8,"",9
1255,19924,"Le Val-de-Grace, Spring Morning",614,8,"",7
1256,19926,Morning Light,614,8,"",""
1257,19928,Mrs. Hassam and Her Sister,614,8,"",17
1258,30046,Still Life with Fruit,750,3,"",0
1259,30048,Sunflowers,750,3,"",6
1260,25545,Christ Crowned with Thorns,738,2,47,10
1261,25547,David and Jonathan,738,2,47,""
1262,187080,Madonna and Child Before a Landscape,738,2,"",11
1263,187069,Saint Christopher with the Infant Christ and Saint Peter,738,2,"",11
1264,25549,Saint Jerome in a Landscape,738,2,47,11
1265,25551,The Virgin and Child,738,2,"",11
1266,25553,The Virgin and Child,738,2,47,11
1267,204763,Virgin and Child with Saints and Donors,738,2,53,11
1268,29344,A Calm at a Mediterranean Port,674,1,55,""
1269,187893,A Coastal Scene with Fishermen in the Foreground,674,1,"",""
1270,187940,A Mediterranean Port at Sunset with a Fisherman in the Foreground,674,1,"",""
1271,187950,A Moonlit Seascape,674,1,"",""
1272,29346,A Storm on a Mediterranean Coast,674,1,55,16
1273,187964,"An Italian Coastal View with a Rainbow, Fisherman and Peasants at an Inlet",674,1,"",""
1274,187957,An Italian Harbor Scene in the Morning Fog with Fishermen Departing,674,1,"",""
1275,187905,Elegant Figures Disembarking in a Grotto,674,1,"",""
1276,187971,Fishers at the Sunrise,674,1,"",""
1277,187912,Fishing,674,1,"",""
1278,187919,Mediterranean Harbour Scene at Sunset,674,1,"",""
1279,187926,Pilgrims in an Italian Landscape,674,1,"",""
1280,187933,"The Villa Pamphilj Gardens, Rome",674,1,"",""
1281,187978,View of a Mediterranean Port at Sunrise with Fishermen Along the Shore,674,1,"",""
1282,187985,View of an Archipelago,674,1,"",""
1283,187992,"View of the Ponte Rotto, Rome",674,1,"",""
1284,187999,Washerwomen Nearby a Lake,674,1,"",""
1285,26926,Aeneas in Delos,537,0,47,23
1286,26928,An Artist Studying from Nature,537,0,"",""
1287,26930,Capriccio with Ruins of the Roman Forum,537,0,"",23
1288,26932,Coast View with the Abduction of Europa,537,0,55,""
1289,26934,Embarkation of St. Paula,537,0,"",23
1290,26940,Landscape with Acis and Galatea,537,0,40,""
1291,26946,Landscape with Dancing Satyrs and Nymphs,537,0,"",""
1292,26948,Landscape with Merchants,537,0,46,""
1293,26950,Landscape with Nymph and Satyr Dancing,537,0,"",""
1294,26952,Landscape with the Embarkment of Saint Paula Romana in Ostia,537,0,50,23
1295,199629,Pastoral Landscape with a Mill,537,0,60,""
1296,26960,Rape of Europa,537,0,"",""
1297,26962,Seaport with the Embarkation of Saint Ursula,537,0,47,23
1298,26964,Seaport with the Embarkation of the Queen of Sheba,537,0,47,23
1299,26974,The Judgment of Paris,537,0,47,""
1300,26976,The Trojan Women Setting Fire to Their Fleet,537,0,35,""
1301,26978,View of a Port with the Capitol by Jelly,537,0,40,23
1302,26982,Villa in the Roman Campagna,537,0,"",""
1303,2018,A Cart on the Snowy Road at Honfleur,550,8,"",9
1304,2020,A Row of Poplars,550,8,67,13
1305,2022,An Orchard in Spring,550,8,"",7
1306,2024,Antibes Seen from the Salis Gardens,550,8,59,15
1307,2026,Apple Trees on the Chantemesle Hill,550,8,"",""
1308,208139,Apples and Grapes,550,8,68,0
1309,2028,Arm of the Seine near Vétheuil,550,8,"",9
1310,2030,Arrival at Saint-Lazare Station,550,8,"",""
1311,2032,"Arrival of the Normandy Train, Gare Saint-Lazare",550,8,68,""
1312,2034,"At Cap d"Antibes, Mistral Wind",550,8,"",16
1313,2036,Autumn Effect at Argenteuil,550,8,"",13
1314,2040,Bathing at La Grenouillère,550,8,47,5
1315,2042,"Belle-Île, Rain Effect",550,8,"",16
1316,2044,Bend in the Epte River near Giverny,550,8,67,5
1317,2046,Bennecourt,550,8,"",""
1318,2050,Blue Water Lilies,550,8,49,27
1319,2052,Boats on the Beach at Étretat,550,8,68,""
1320,2054,Bordighera,550,8,68,""
1321,2056,Boulevard des Capucines,550,8,39,""
1322,2058,Bouquet of Mallows,550,8,"",6
